Date,Invoice_ID,Product_ID,Product_Name,Category,Quantity_Sold,Unit_Price,Discount,Revenue,Customer_Type,Payment_Method,City
2026-01-01,INV1001,P001,Basic T-Shirt,Topwear,2,499.0,0.0,998.0,New,UPI,Mumbai
2026-01-01,INV1002,P002,Blue Jeans,Bottomwear,1,1299.0,0.0,1299.0,Returning,Credit Card,Delhi
2026-01-02,INV1003,P003,Summer Dress,Dresses,1,1499.0,100.0,1399.0,New,Cash,Bangalore
2026-01-02,INV1004,P004,Winter Hoodie,Outerwear,2,1999.0,0.0,3998.0,Returning,UPI,Pune
2026-01-03,INV1005,P001,Basic T-Shirt,Topwear,4,499.0,0.0,1996.0,New,UPI,Mumbai
2026-01-03,INV1006,P002,Blue Jeans,Bottomwear,3,1299.0,200.0,3697.0,Returning,Cash,Delhi
2026-01-03,INV1007,P005,Wool Scarf,Accessories,1,599.0,0.0,599.0,New,Credit Card,Bangalore
2026-01-04,INV1008,P001,Basic T-Shirt,Topwear,5,499.0,0.0,2495.0,Returning,UPI,Pune
2026-01-04,INV1009,P003,Summer Dress,Dresses,2,1499.0,0.0,2998.0,New,Cash,Mumbai
2026-01-04,INV1010,P004,Winter Hoodie,Outerwear,1,1999.0,0.0,1999.0,Returning,Credit Card,Delhi
2026-01-05,INV1011,P001,Basic T-Shirt,Topwear,1,499.0,0.0,499.0,New,UPI,Bangalore
2026-01-05,INV1012,P002,Blue Jeans,Bottomwear,1,1299.0,0.0,1299.0,Returning,Cash,Pune
2026-01-06,INV1013,P003,Summer Dress,Dresses,1,1499.0,0.0,1499.0,New,UPI,Mumbai
2026-01-06,INV1014,P005,Wool Scarf,Accessories,2,599.0,50.0,1148.0,Returning,Credit Card,Delhi
2026-01-07,INV1015,P001,Basic T-Shirt,Topwear,3,499.0,0.0,1497.0,New,Cash,Bangalore
2026-01-07,INV1016,P004,Winter Hoodie,Outerwear,1,1999.0,100.0,1899.0,Returning,UPI,Pune
2026-01-08,INV1017,P002,Blue Jeans,Bottomwear,2,1299.0,0.0,2598.0,New,UPI,Mumbai
2026-01-08,INV1018,P003,Summer Dress,Dresses,1,1499.0,0.0,1499.0,Returning,Credit Card,Delhi
2026-01-09,INV1019,P001,Basic T-Shirt,Topwear,2,499.0,0.0,998.0,New,Cash,Bangalore
2026-01-09,INV1020,P005,Wool Scarf,Accessories,1,599.0,0.0,599.0,Returning,UPI,Pune
2026-01-10,INV1021,P001,Basic T-Shirt,Topwear,6,499.0,0.0,2994.0,New,UPI,Mumbai
2026-01-10,INV1022,P002,Blue Jeans,Bottomwear,4,1299.0,150.0,5046.0,Returning,Credit Card,Delhi
2026-01-10,INV1023,P003,Summer Dress,Dresses,3,1499.0,0.0,4497.0,New,UPI,Bangalore
2026-01-11,INV1024,P004,Winter Hoodie,Outerwear,2,1999.0,0.0,3998.0,Returning,Cash,Pune
2026-01-11,INV1025,P001,Basic T-Shirt,Topwear,5,499.0,50.0,2445.0,New,UPI,Mumbai
2026-01-11,INV1026,P005,Wool Scarf,Accessories,2,599.0,0.0,1198.0,Returning,Credit Card,Delhi
2026-01-12,INV1027,P002,Blue Jeans,Bottomwear,1,1299.0,0.0,1299.0,New,UPI,Bangalore
2026-01-12,INV1028,P003,Summer Dress,Dresses,1,1499.0,0.0,1499.0,Returning,Cash,Pune
2026-01-13,INV1029,P001,Basic T-Shirt,Topwear,2,499.0,0.0,998.0,New,UPI,Mumbai
2026-01-13,INV1030,P004,Winter Hoodie,Outerwear,1,1999.0,0.0,1999.0,Returning,Credit Card,Delhi
2026-01-14,INV1031,P005,Wool Scarf,Accessories,1,599.0,0.0,599.0,New,Cash,Bangalore
2026-01-14,INV1032,P002,Blue Jeans,Bottomwear,2,1299.0,50.0,2548.0,Returning,UPI,Pune
2026-01-15,INV1033,P001,Basic T-Shirt,Topwear,3,499.0,0.0,1497.0,New,UPI,Mumbai
2026-01-15,INV1034,P003,Summer Dress,Dresses,1,1499.0,0.0,1499.0,Returning,Credit Card,Delhi
2026-01-16,INV1035,P004,Winter Hoodie,Outerwear,1,1999.0,0.0,1999.0,New,Cash,Bangalore
2026-01-16,INV1036,P001,Basic T-Shirt,Topwear,2,499.0,0.0,998.0,Returning,UPI,Pune
2026-01-17,INV1037,P001,Basic T-Shirt,Topwear,5,499.0,0.0,2495.0,New,UPI,Mumbai
2026-01-17,INV1038,P002,Blue Jeans,Bottomwear,3,1299.0,100.0,3797.0,Returning,Credit Card,Delhi
2026-01-17,INV1039,P003,Summer Dress,Dresses,2,1499.0,0.0,2998.0,New,UPI,Bangalore
2026-01-18,INV1040,P004,Winter Hoodie,Outerwear,2,1999.0,0.0,3998.0,Returning,Cash,Pune
2026-01-18,INV1041,P001,Basic T-Shirt,Topwear,4,499.0,0.0,1996.0,New,UPI,Mumbai
2026-01-18,INV1042,P005,Wool Scarf,Accessories,1,599.0,0.0,599.0,Returning,Credit Card,Delhi
2026-01-19,INV1043,P002,Blue Jeans,Bottomwear,1,1299.0,0.0,1299.0,New,UPI,Bangalore
2026-01-19,INV1044,P003,Summer Dress,Dresses,1,1499.0,0.0,1499.0,Returning,Cash,Pune
2026-01-20,INV1045,P001,Basic T-Shirt,Topwear,2,499.0,0.0,998.0,New,UPI,Mumbai
2026-01-20,INV1046,P004,Winter Hoodie,Outerwear,1,1999.0,0.0,1999.0,Returning,Credit Card,Delhi
2026-01-21,INV1047,P001,Basic T-Shirt,Topwear,3,499.0,0.0,1497.0,New,Cash,Bangalore
2026-01-21,INV1048,P002,Blue Jeans,Bottomwear,2,1299.0,50.0,2548.0,Returning,UPI,Pune
2026-01-22,INV1049,P003,Summer Dress,Dresses,1,1499.0,0.0,1499.0,New,UPI,Mumbai
2026-01-22,INV1050,P005,Wool Scarf,Accessories,1,599.0,0.0,599.0,Returning,Credit Card,Delhi
2026-01-23,INV1051,P001,Basic T-Shirt,Topwear,2,499.0,0.0,998.0,New,Cash,Bangalore
2026-01-23,INV1052,P004,Winter Hoodie,Outerwear,1,1999.0,0.0,1999.0,Returning,UPI,Pune
2026-01-24,INV1053,P001,Basic T-Shirt,Topwear,6,499.0,0.0,2994.0,New,UPI,Mumbai
2026-01-24,INV1054,P002,Blue Jeans,Bottomwear,4,1299.0,200.0,4996.0,Returning,Credit Card,Delhi
2026-01-24,INV1055,P003,Summer Dress,Dresses,3,1499.0,0.0,4497.0,New,UPI,Bangalore
2026-01-25,INV1056,P004,Winter Hoodie,Outerwear,2,1999.0,0.0,3998.0,Returning,Cash,Pune
2026-01-25,INV1057,P001,Basic T-Shirt,Topwear,5,499.0,0.0,2495.0,New,UPI,Mumbai
2026-01-25,INV1058,P005,Wool Scarf,Accessories,2,599.0,50.0,1148.0,Returning,Credit Card,Delhi
2026-01-26,INV1059,P002,Blue Jeans,Bottomwear,1,1299.0,0.0,1299.0,New,UPI,Bangalore
2026-01-26,INV1060,P003,Summer Dress,Dresses,1,1499.0,0.0,1499.0,Returning,Cash,Pune
2026-01-27,INV1061,P001,Basic T-Shirt,Topwear,2,499.0,0.0,998.0,New,UPI,Mumbai
2026-01-27,INV1062,P004,Winter Hoodie,Outerwear,1,1999.0,0.0,1999.0,Returning,Credit Card,Delhi
2026-01-28,INV1063,P005,Wool Scarf,Accessories,1,599.0,0.0,599.0,New,Cash,Bangalore
2026-01-28,INV1064,P002,Blue Jeans,Bottomwear,2,1299.0,0.0,2598.0,Returning,UPI,Pune
2026-01-29,INV1065,P001,Basic T-Shirt,Topwear,3,499.0,0.0,1497.0,New,UPI,Mumbai
2026-01-29,INV1066,P003,Summer Dress,Dresses,1,1499.0,0.0,1499.0,Returning,Credit Card,Delhi
2026-01-30,INV1067,P004,Winter Hoodie,Outerwear,1,1999.0,0.0,1999.0,New,Cash,Bangalore
2026-01-30,INV1068,P001,Basic T-Shirt,Topwear,2,499.0,0.0,998.0,Returning,UPI,Pune
2026-01-31,INV1069,P001,Basic T-Shirt,Topwear,5,499.0,0.0,2495.0,New,UPI,Mumbai
2026-01-31,INV1070,P002,Blue Jeans,Bottomwear,4,1299.0,150.0,5046.0,Returning,Credit Card,Delhi
2026-01-31,INV1071,P003,Summer Dress,Dresses,2,1499.0,0.0,2998.0,New,UPI,Bangalore
2026-02-01,INV1072,P004,Winter Hoodie,Outerwear,3,1999.0,100.0,5897.0,Returning,Cash,Pune
2026-02-01,INV1073,P001,Basic T-Shirt,Topwear,4,499.0,0.0,1996.0,New,UPI,Mumbai
2026-02-01,INV1074,P005,Wool Scarf,Accessories,1,599.0,0.0,599.0,Returning,Credit Card,Delhi
2026-02-02,INV1075,P002,Blue Jeans,Bottomwear,1,1299.0,0.0,1299.0,New,UPI,Bangalore
2026-02-02,INV1076,P003,Summer Dress,Dresses,1,1499.0,0.0,1499.0,Returning,Cash,Pune
2026-02-03,INV1077,P001,Basic T-Shirt,Topwear,2,499.0,0.0,998.0,New,UPI,Mumbai
2026-02-03,INV1078,P004,Winter Hoodie,Outerwear,1,1999.0,0.0,1999.0,Returning,Credit Card,Delhi
2026-02-04,INV1079,P001,Basic T-Shirt,Topwear,3,499.0,0.0,1497.0,New,Cash,Bangalore
2026-02-04,INV1080,P002,Blue Jeans,Bottomwear,2,1299.0,0.0,2598.0,Returning,UPI,Pune
2026-02-05,INV1081,P003,Summer Dress,Dresses,1,1499.0,0.0,1499.0,New,UPI,Mumbai
2026-02-05,INV1082,P005,Wool Scarf,Accessories,1,599.0,0.0,599.0,Returning,Credit Card,Delhi
2026-02-06,INV1083,P001,Basic T-Shirt,Topwear,2,499.0,0.0,998.0,New,Cash,Bangalore
2026-02-06,INV1084,P004,Winter Hoodie,Outerwear,1,1999.0,0.0,1999.0,Returning,UPI,Pune
2026-02-07,INV1085,P001,Basic T-Shirt,Topwear,7,499.0,0.0,3493.0,New,UPI,Mumbai
2026-02-07,INV1086,P002,Blue Jeans,Bottomwear,5,1299.0,250.0,6245.0,Returning,Credit Card,Delhi
2026-02-07,INV1087,P003,Summer Dress,Dresses,3,1499.0,0.0,4497.0,New,UPI,Bangalore
2026-02-08,INV1088,P004,Winter Hoodie,Outerwear,2,1999.0,0.0,3998.0,Returning,Cash,Pune
2026-02-08,INV1089,P001,Basic T-Shirt,Topwear,6,499.0,0.0,2994.0,New,UPI,Mumbai
2026-02-08,INV1090,P005,Wool Scarf,Accessories,2,599.0,0.0,1198.0,Returning,Credit Card,Delhi
2026-02-09,INV1091,P002,Blue Jeans,Bottomwear,1,1299.0,0.0,1299.0,New,UPI,Bangalore
2026-02-09,INV1092,P003,Summer Dress,Dresses,1,1499.0,0.0,1499.0,Returning,Cash,Pune
2026-02-10,INV1093,P001,Basic T-Shirt,Topwear,2,499.0,0.0,998.0,New,UPI,Mumbai
2026-02-10,INV1094,P004,Winter Hoodie,Outerwear,1,1999.0,0.0,1999.0,Returning,Credit Card,Delhi
2026-02-11,INV1095,P005,Wool Scarf,Accessories,1,599.0,0.0,599.0,New,Cash,Bangalore
2026-02-11,INV1096,P002,Blue Jeans,Bottomwear,2,1299.0,0.0,2598.0,Returning,UPI,Pune
2026-02-12,INV1097,P001,Basic T-Shirt,Topwear,3,499.0,0.0,1497.0,New,UPI,Mumbai
2026-02-12,INV1098,P003,Summer Dress,Dresses,1,1499.0,0.0,1499.0,Returning,Credit Card,Delhi
2026-02-13,INV1099,P004,Winter Hoodie,Outerwear,1,1999.0,0.0,1999.0,New,Cash,Bangalore
2026-02-13,INV1100,P001,Basic T-Shirt,Topwear,2,499.0,0.0,998.0,Returning,UPI,Pune
2026-02-14,INV1101,P001,Basic T-Shirt,Topwear,6,499.0,0.0,2994.0,New,UPI,Mumbai
2026-02-14,INV1102,P002,Blue Jeans,Bottomwear,4,1299.0,100.0,5096.0,Returning,Credit Card,Delhi
2026-02-14,INV1103,P003,Summer Dress,Dresses,3,1499.0,0.0,4497.0,New,UPI,Bangalore
2026-02-15,INV1104,P004,Winter Hoodie,Outerwear,2,1999.0,0.0,3998.0,Returning,Cash,Pune
2026-02-15,INV1105,P001,Basic T-Shirt,Topwear,5,499.0,0.0,2495.0,New,UPI,Mumbai
2026-02-15,INV1106,P005,Wool Scarf,Accessories,1,599.0,0.0,599.0,Returning,Credit Card,Delhi
2026-02-16,INV1107,P002,Blue Jeans,Bottomwear,1,1299.0,0.0,1299.0,New,UPI,Bangalore
2026-02-16,INV1108,P003,Summer Dress,Dresses,1,1499.0,0.0,1499.0,Returning,Cash,Pune
2026-02-17,INV1109,P001,Basic T-Shirt,Topwear,2,499.0,0.0,998.0,New,UPI,Mumbai
2026-02-17,INV1110,P004,Winter Hoodie,Outerwear,1,1999.0,0.0,1999.0,Returning,Credit Card,Delhi
2026-02-18,INV1111,P001,Basic T-Shirt,Topwear,3,499.0,0.0,1497.0,New,Cash,Bangalore
2026-02-18,INV1112,P002,Blue Jeans,Bottomwear,2,1299.0,0.0,2598.0,Returning,UPI,Pune
2026-02-19,INV1113,P003,Summer Dress,Dresses,1,1499.0,0.0,1499.0,New,UPI,Mumbai
2026-02-19,INV1114,P005,Wool Scarf,Accessories,1,599.0,0.0,599.0,Returning,Credit Card,Delhi
2026-02-20,INV1115,P001,Basic T-Shirt,Topwear,2,499.0,0.0,998.0,New,Cash,Bangalore
